,Name,Date,Pattern,Closing Price,High after 1 day,High after 2 days,High after 3 days,High after 4 days,High after 5 days,High after 6 days,High after 7 days,High after 8 days,High after 9 days,High after 10 days,High after 15 days,High after 20 days,High after 25 days,High after 30 days,Up/down after 1 day,Up/down after 2 day,Up/down after 3 day,Up/down after 4 day,Up/down after 5 day,Up/down after 6 day,Up/down after 7 day,Up/down after 8 day,Up/down after 9 day,Up/down after 10 day,Up/down after 15 day,Up/down after 20 day,Up/down after 25 day,Up/down after 30 day,% change after 1 days,% change after 2 days,% change after 3 days,% change after 4 days,% change after 5 days,% change after 6 days,% change after 7 days,% change after 8 days,% change after 9 days,% change after 10 days,% change after 15 days,% change after 20 days,% change after 25 days,% change after 30 days
23,Wendys,2021-09-03,hammer,22.89999962,22.95000076,22.98999977,23.10000038,22.80999947,22.60000038,22.51000023,22.45999908,22.54999924,22.60000038,22.29999924,23.15999985,22.61000061,22.38999939,22.15999985,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0.22%,0.39%,0.87%,-0.39%,-1.31%,-1.70%,-1.92%,-1.53%,-1.31%,-2.62%,1.14%,-1.27%,-2.23%,-3.23%
24,Wendys,2021-09-14,hammer,22.45999908,22.45999908,22.54999924,22.60000038,22.29999924,22.01000023,22.13999939,22.46999931,23.09000015,23.15999985,22.72999954,22.35000038,22.12999916,22.13999939,22.52000046,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0.00%,0.40%,0.62%,-0.71%,-2.00%,-1.43%,0.05%,2.81%,3.12%,1.20%,-0.49%,-1.47%,-1.43%,0.27%
25,Pizza Hut,2015-09-02,hammer,57.70668411,58.19554138,57.18188477,58.9144516,60.0215683,58.38964844,58.56937408,58.5190506,59.45362854,59.81308365,60.31631851,56.47016525,57.89360046,49.10136414,49.92810822,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0.85%,-0.91%,2.09%,4.01%,1.18%,1.50%,1.41%,3.03%,3.65%,4.52%,-2.14%,0.32%,-14.91%,-13.48%
26,Pizza Hut,2015-09-24,hammer,56.3048172,57.29690933,56.22573853,54.93170547,57.69230652,57.89360046,58.87850571,59.88497543,60.05751419,50.97052383,49.10136414,49.92810822,53.63767242,52.48022842,51.71099854,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1.76%,-0.14%,-2.44%,2.46%,2.82%,4.57%,6.36%,6.67%,-9.47%,-12.79%,-11.33%,-4.74%,-6.79%,-8.16%
27,NRG Energy Inc,2015-11-06,hammer,13.51000023,13.80000019,13.75,13.73999977,13.11999989,12.85000038,12.82999992,12.73999977,12.32999992,12.18000031,12.10000038,12.42000008,9.710000038,10.27000046,11.19999981,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2.15%,1.78%,1.70%,-2.89%,-4.89%,-5.03%,-5.70%,-8.73%,-9.85%,-10.44%,-8.07%,-28.13%,-23.98%,-17.10%
28,NRG Energy Inc,2018-02-26,hammer,26.29000092,26.39999962,26.19000053,27.5,28.03000069,29.02000046,29.48999977,29.54999924,29.88999939,29.82999992,30.12000084,30.62999916,30.39999962,30.62999916,30.82999992,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.42%,-0.38%,4.60%,6.62%,10.38%,12.17%,12.40%,13.69%,13.47%,14.57%,16.51%,15.63%,16.51%,17.27%
29,NRG Energy Inc,2019-06-27,hammer,34.02999878,35.13000107,35.56999969,35.61999893,36.06000137,36.09999847,36.27000046,35.91999817,36.11000061,36.09000015,36.15999985,35.54999924,35.13000107,35,35.13999939,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.23%,4.53%,4.67%,5.97%,6.08%,6.58%,5.55%,6.11%,6.05%,6.26%,4.47%,3.23%,2.85%,3.26%
30,NRG Energy Inc,2020-02-28,hammer,33.20999908,34.18999863,34.97000122,35.5,35.09999847,34.43999863,31.87000084,32.36999893,31.46999931,29.45000076,28.88999939,25.68000031,30.38999939,28.12000084,30.75,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2.95%,5.30%,6.90%,5.69%,3.70%,-4.04%,-2.53%,-5.24%,-11.32%,-13.01%,-22.67%,-8.49%,-15.33%,-7.41%
31,NRG Energy Inc,2020-09-17,hammer,30.54000092,30.56999969,29.60000038,29.5,29.21999931,29.11000061,29.62000084,30.09000015,30.06999969,30.92000008,30.93000031,32.40999985,34.40000153,33.31999969,31.73999977,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0.10%,-3.08%,-3.41%,-4.32%,-4.68%,-3.01%,-1.47%,-1.54%,1.24%,1.28%,6.12%,12.64%,9.10%,3.93%
32,NRG Energy Inc,2021-04-30,hammer,35.81999969,36.27999878,35.5,35.13999939,35.22999954,35.27000046,36.24000168,35.13999939,34.66999817,34.02000046,34.38000107,34.25999832,32.72000122,34.59000015,37.56999969,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1.28%,-0.89%,-1.90%,-1.65%,-1.54%,1.17%,-1.90%,-3.21%,-5.03%,-4.02%,-4.36%,-8.65%,-3.43%,4.89%
