,Name,Date,Pattern,Closing Price,High after 1 day,High after 2 days,High after 3 days,High after 4 days,High after 5 days,High after 6 days,High after 7 days,High after 8 days,High after 9 days,High after 10 days,High after 15 days,High after 20 days,High after 25 days,High after 30 days,Up/down after 1 day,Up/down after 2 day,Up/down after 3 day,Up/down after 4 day,Up/down after 5 day,Up/down after 6 day,Up/down after 7 day,Up/down after 8 day,Up/down after 9 day,Up/down after 10 day,Up/down after 15 day,Up/down after 20 day,Up/down after 25 day,Up/down after 30 day,% change after 1 days,% change after 2 days,% change after 3 days,% change after 4 days,% change after 5 days,% change after 6 days,% change after 7 days,% change after 8 days,% change after 9 days,% change after 10 days,% change after 15 days,% change after 20 days,% change after 25 days,% change after 30 days
120,Johnson & Johnson,2021-03-09,inv_hammer,157.6999969,159.8999939,160.6300049,160.3099976,160.6600037,161.6799927,161.7299957,161.4900055,161.5,160.6499939,161.1999969,165.6600037,164.2799988,160.1100006,166.9100037,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.40%,1.86%,1.66%,1.88%,2.52%,2.56%,2.40%,2.41%,1.87%,2.22%,5.05%,4.17%,1.53%,5.84%
121,Apple,2016-06-09,engulfing_bullish,24.91250038,24.83749962,24.78000069,24.62000084,24.60250092,24.4375,24.16250038,24.14249992,24.08749962,24.22249985,24.07250023,23.94249916,24.22249985,24.82500076,24.82500076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.30%,-0.53%,-1.17%,-1.24%,-1.91%,-3.01%,-3.09%,-3.31%,-2.77%,-3.37%,-3.89%,-2.77%,-0.35%,-0.35%
122,Apple,2016-07-06,engulfing_bullish,23.88249969,24.125,24.22249985,24.41250038,24.42499924,24.41749954,24.74749947,24.82500076,25.03249931,25,25.11499977,26.08749962,26.45999908,27.22500038,27.34250069,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.02%,1.42%,2.22%,2.27%,2.24%,3.62%,3.95%,4.82%,4.68%,5.16%,9.23%,10.79%,14.00%,14.49%
123,Apple,2017-07-13,engulfing_bullish,36.94250107,37.33250046,37.72499847,37.53250122,37.85499954,37.93500137,37.61000061,38.11000061,38.45999908,38.48249817,38.49750137,39.30250168,40,40.17750168,40.18500137,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.06%,2.12%,1.60%,2.47%,2.69%,1.81%,3.16%,4.11%,4.17%,4.21%,6.39%,8.28%,8.76%,8.78%
124,Google,2016-05-06,engulfing_bullish,725.1799927,734.289978,740,740.7999878,735.3699951,731.289978,732.6799927,735.8499756,725.5700073,720.5,727.7000122,747.9099731,738.5,739,715.8699951,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1.26%,2.04%,2.15%,1.41%,0.84%,1.03%,1.47%,0.05%,-0.65%,0.35%,3.13%,1.84%,1.91%,-1.28%
125,Google,2016-07-06,engulfing_bullish,708.9699707,710.1699829,717.9000244,728.9299927,735.5999756,735.5200195,736.1400146,741,755.1400146,756.5900269,760.6400146,764.4500122,799.539978,810.8800049,805.6300049,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.17%,1.26%,2.82%,3.76%,3.75%,3.83%,4.52%,6.51%,6.72%,7.29%,7.83%,12.78%,14.37%,13.63%
126,Google,2017-08-29,engulfing_bullish,935.75,945.8599854,957.2000122,958.3300171,951.3900146,944.5,950.5,950.7000122,952.6799927,948.0900269,952.8499756,950,965.4299927,974.4000244,1007.570007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.08%,2.29%,2.41%,1.67%,0.94%,1.58%,1.60%,1.81%,1.32%,1.83%,1.52%,3.17%,4.13%,7.68%
127,Google,2018-09-11,engulfing_bullish,1189.98999,1190.689941,1187.859985,1188,1181.819946,1181.329956,1176.27002,1194,1196.579956,1185.189941,1196.859985,1224.52002,1161.550049,1136.369995,1118,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0.06%,-0.18%,-0.17%,-0.69%,-0.73%,-1.15%,0.34%,0.55%,-0.40%,0.58%,2.90%,-2.39%,-4.51%,-6.05%
128,Google,2018-10-23,engulfing_bullish,1114.910034,1116.619995,1117.819946,1117,1108.829956,1050.900024,1108,1099.900024,1098,1073.349976,1079.819946,1066.670044,1037.349976,1092.859985,1079.420044,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.15%,0.26%,0.19%,-0.55%,-5.74%,-0.62%,-1.35%,-1.52%,-3.73%,-3.15%,-4.33%,-6.96%,-1.98%,-3.18%
129,Amazon,2017-08-29,engulfing_bullish,954.0599976,969.4099731,981,984.5,976.7700195,971.8400269,980.5900269,979.8800049,981.9400024,984.6699829,1000,974.8099976,955.2999878,967.789978,995.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.61%,2.82%,3.19%,2.38%,1.86%,2.78%,2.71%,2.92%,3.21%,4.82%,2.18%,0.13%,1.44%,4.34%
130,Amazon,2017-10-04,engulfing_bullish,965.4500122,981.5100098,995.75,998.5,997.9500122,995.5,1008.440002,1007.77002,1009.570007,1011.469971,1022.309998,984.4400024,1108.969971,1135.540039,1131.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.66%,3.14%,3.42%,3.37%,3.11%,4.45%,4.38%,4.57%,4.77%,5.89%,1.97%,14.87%,17.62%,17.23%
131,Amazon,2018-03-29,engulfing_bullish,1447.339966,1421.359985,1414,1415.390015,1459.560059,1452.5,1438.47998,1438.380005,1448.780029,1452.119995,1459.780029,1561.199951,1638.099976,1584.900024,1611.099976,0,0,0,1,1,0,0,1,1,1,1,1,1,1,-1.80%,-2.30%,-2.21%,0.84%,0.36%,-0.61%,-0.62%,0.10%,0.33%,0.86%,7.87%,13.18%,9.50%,11.32%
132,Amazon,2019-01-02,engulfing_bullish,1539.130005,1538,1594,1634.560059,1676.609985,1667.800049,1663.25,1660.290039,1648.199951,1675.160034,1705,1657.26001,1736.410034,1625.540039,1637.900024,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.07%,3.57%,6.20%,8.93%,8.36%,8.06%,7.87%,7.09%,8.84%,10.78%,7.68%,12.82%,5.61%,6.42%
133,Amazon,2019-08-07,engulfing_bullish,1793.400024,1834.26001,1831.089966,1800.97998,1831.73999,1795.650024,1788,1802.910034,1826,1816.819946,1829.579956,1767.859985,1842,1853.660034,1832.569946,1,1,1,1,1,0,1,1,1,1,0,1,1,1,2.28%,2.10%,0.42%,2.14%,0.13%,-0.30%,0.53%,1.82%,1.31%,2.02%,-1.42%,2.71%,3.36%,2.18%
134,Amazon,2019-08-13,engulfing_bullish,1824.339966,1795.650024,1788,1802.910034,1826,1816.819946,1829.579956,1829.410034,1804.900024,1770,1779.400024,1807.630005,1833.420044,1822.060059,1773,0,0,0,1,0,1,1,0,0,0,0,1,0,0,-1.57%,-1.99%,-1.18%,0.09%,-0.41%,0.29%,0.28%,-1.07%,-2.98%,-2.46%,-0.92%,0.50%,-0.13%,-2.81%
135,Amazon,2021-03-17,engulfing_bullish,3135.72998,3116.629883,3077.290039,3126.580078,3182,3160.310059,3109.780029,3056.659912,3091.25,3073,3119.330078,3324.5,3397,3372.870117,3514.449951,0,0,0,1,1,0,0,0,0,0,1,1,1,1,-0.61%,-1.86%,-0.29%,1.48%,0.78%,-0.83%,-2.52%,-1.42%,-2.00%,-0.52%,6.02%,8.33%,7.56%,12.08%
136,Tesla,2016-06-06,engulfing_bullish,44.13600159,46.88800049,48.16999817,47.06600189,45.59400177,45.15399933,44.43999863,44.38000107,43.60800171,43.9980011,44.75,39.76200104,42.90800095,45.5,45.81999969,1,1,1,1,1,1,1,0,0,1,0,0,1,1,6.24%,9.14%,6.64%,3.30%,2.31%,0.69%,0.55%,-1.20%,-0.31%,1.39%,-9.91%,-2.78%,3.09%,3.82%
137,Tesla,2016-07-01,engulfing_bullish,43.29999924,42.90800095,43.04600143,43.62400055,43.9620018,45.35599899,45.5,45.11800003,44.98799896,44.54999924,45.41799927,46.27799988,47.32600021,45.91999817,45.90000153,0,0,1,1,1,1,1,1,1,1,1,1,1,1,-0.91%,-0.59%,0.75%,1.53%,4.75%,5.08%,4.20%,3.90%,2.89%,4.89%,6.88%,9.30%,6.05%,6.01%
138,Tesla,2017-07-18,engulfing_bullish,65.64800262,66.33000183,66.04399872,66.2519989,68.68000031,69.12000275,69.09999847,69.5,67.91999817,68.29799652,64.88999939,73.71600342,73.09799957,68.44799805,69.80999756,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1.04%,0.60%,0.92%,4.62%,5.29%,5.26%,5.87%,3.46%,4.04%,-1.16%,12.29%,11.35%,4.27%,6.34%
139,Tesla,2017-08-02,engulfing_bullish,65.1780014,70,71.45400238,71.89600372,73.71600342,74,73.33000183,72.2519989,73.53199768,73.09799957,73.30000305,70.69799805,70.69400024,70.4960022,75.59200287,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7.40%,9.63%,10.31%,13.10%,13.54%,12.51%,10.85%,12.82%,12.15%,12.46%,8.47%,8.46%,8.16%,15.98%
140,Tesla,2017-10-03,engulfing_bullish,69.62799835,71.72399902,71.48799896,72.01999664,70.34999847,71.12599945,71.51999664,71.95600128,71.69799805,70.89600372,71.2440033,68.55999756,66.38999939,61.29999924,63.27000046,1,1,1,1,1,1,1,1,1,1,0,0,0,0,3.01%,2.67%,3.44%,1.04%,2.15%,2.72%,3.34%,2.97%,1.82%,2.32%,-1.53%,-4.65%,-11.96%,-9.13%
141,Tesla,2018-02-13,engulfing_bullish,64.73200226,65.23400116,66.8239975,68.62400055,68.16799927,67.93800354,69.48799896,70.9980011,71.80000305,71.9980011,71.04799652,66.5,67.96199799,64.48799896,53.73600006,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.78%,3.23%,6.01%,5.31%,4.95%,7.35%,9.68%,10.92%,11.23%,9.76%,2.73%,4.99%,-0.38%,-16.99%
142,Tesla,2018-03-29,engulfing_bullish,53.22600174,52.06600189,54.66999817,57.67399979,61.2519989,61.85599899,61.90000153,61.41999817,61.79600143,60.79000092,60.79000092,59.99599838,58.89400101,59.37200165,61.77600098,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-2.18%,2.71%,8.36%,15.08%,16.21%,16.30%,15.40%,16.10%,14.21%,14.21%,12.72%,10.65%,11.55%,16.06%
143,Tesla,2018-04-04,engulfing_bullish,57.38800049,61.2519989,61.85599899,61.90000153,61.41999817,61.79600143,60.79000092,60.79000092,59.93199921,58.43399811,60.04800034,57.0320015,61.36999893,61.40200043,57.76200104,1,1,1,1,1,1,1,1,1,1,0,1,1,1,6.73%,7.79%,7.86%,7.03%,7.68%,5.93%,5.93%,4.43%,1.82%,4.64%,-0.62%,6.94%,6.99%,0.65%
144,Tesla,2018-04-26,engulfing_bullish,57.09600067,58.89400101,59.74599838,60.16400146,61.36999893,57.60800171,59.37200165,61.19200134,61.54999924,61.40200043,62.59799957,57.83800125,56.22200012,58.38999939,64.89600372,1,1,1,1,1,1,1,1,1,1,1,0,1,1,3.15%,4.64%,5.37%,7.49%,0.90%,3.99%,7.17%,7.80%,7.54%,9.64%,1.30%,-1.53%,2.27%,13.66%
145,Tesla,2019-02-05,engulfing_bullish,64.26999664,64.84799957,62.93999863,61.49000168,63.72000122,63.63800049,62.54999924,61.35400009,61.59999847,62.30799866,61.25999832,63.25999832,56.30199814,58.39799881,54.99399948,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.90%,-2.07%,-4.33%,-0.86%,-0.98%,-2.68%,-4.54%,-4.15%,-3.05%,-4.68%,-1.57%,-12.40%,-9.14%,-14.43%
146,Tesla,2019-04-16,engulfing_bullish,54.67200089,54.95800018,54.9679985,53.93600082,53.11999893,53.06399918,51.79999924,49.33599854,48.79600143,48.84199905,48,50.11999893,46.48799896,40.7879982,38.45199966,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.52%,0.54%,-1.35%,-2.84%,-2.94%,-5.25%,-9.76%,-10.75%,-10.66%,-12.20%,-8.33%,-14.97%,-25.40%,-29.67%
147,Tesla,2019-05-03,engulfing_bullish,51.00600052,51.66999817,51.44200134,50.11999893,48.73600006,48.39799881,46.49399948,46.90000153,46.48799896,46.20000076,44.44800186,39.99599838,37.33599854,43.38800049,45.40000153,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.30%,0.86%,-1.74%,-4.45%,-5.11%,-8.85%,-8.05%,-8.86%,-9.42%,-12.86%,-21.59%,-26.80%,-14.94%,-10.99%
148,Tesla,2020-03-31,engulfing_bullish,104.8000031,102.7900009,98.85199738,103.0979996,104.1999969,113,111.4420013,115.0360031,130.3999939,148.3760071,150.6260071,146.8000031,160.6399994,157.9600067,165.1999969,0,0,0,0,1,1,1,1,1,1,1,1,1,1,-1.92%,-5.68%,-1.62%,-0.57%,7.82%,6.34%,9.77%,24.43%,41.58%,43.73%,40.08%,53.28%,50.73%,57.63%
149,Tesla,2021-03-30,engulfing_bullish,635.6199951,672,692.4199829,708.1599731,696.5499878,691.3800049,689.5499878,680.9699707,704.7999878,763,780.789978,744.8400269,708.5,685.2999878,620.4099731,1,1,1,1,1,1,1,1,1,1,1,1,1,0,5.72%,8.94%,11.41%,9.59%,8.77%,8.49%,7.14%,10.88%,20.04%,22.84%,17.18%,11.47%,7.82%,-2.39%
150,Microsoft,2016-03-08,engulfing_bullish,51.65000153,52.84999847,52.93999863,53.06999969,53.59000015,53.59000015,54.59999847,55,54.97000122,53.93000031,54.25,55.63999939,55.20000076,55.43999863,56.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.32%,2.50%,2.75%,3.76%,3.76%,5.71%,6.49%,6.43%,4.41%,5.03%,7.73%,6.87%,7.34%,9.39%
151,Microsoft,2016-05-16,engulfing_bullish,51.83000183,51.72999954,51.13999939,50.61999893,51.22000122,50.68000031,51.70999908,52.49000168,51.97999954,52.31999969,53,52.72999954,50.09999847,51.43000031,49.47000122,0,0,0,0,0,0,1,1,1,1,1,0,0,0,-0.19%,-1.33%,-2.34%,-1.18%,-2.22%,-0.23%,1.27%,0.29%,0.95%,2.26%,1.74%,-3.34%,-0.77%,-4.55%
152,Microsoft,2016-06-16,engulfing_bullish,50.38999939,50.43000031,50.83000183,51.43000031,51.45999908,52.06000137,50.93999863,49.15000153,49.47000122,50.72000122,51.29999924,52.36000061,54,56.63000107,56.75999832,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0.08%,0.87%,2.06%,2.12%,3.31%,1.09%,-2.46%,-1.83%,0.66%,1.81%,3.91%,7.16%,12.38%,12.64%
153,Microsoft,2020-12-11,engulfing_bullish,213.2599945,216.2100067,215.4199982,220.1100006,220.8899994,219.6900024,224,225.6300049,223.5599976,223.6100006,226.0299988,218.5200043,217.1000061,225.7899933,240.4400024,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.38%,1.01%,3.21%,3.58%,3.02%,5.04%,5.80%,4.83%,4.85%,5.99%,2.47%,1.80%,5.88%,12.75%
154,McDonalds,2016-09-30,engulfing_bullish,115.3600006,115.1500015,115.5100021,114.8300018,114.2200012,114.3399963,114.9899979,115.2300034,115.2300034,115.7399979,115.1100006,114.5,112.3499985,112,114.9599991,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-0.18%,0.13%,-0.46%,-0.99%,-0.88%,-0.32%,-0.11%,-0.11%,0.33%,-0.22%,-0.75%,-2.61%,-2.91%,-0.35%
155,McDonalds,2016-10-06,engulfing_bullish,113.9199982,114.3399963,114.9899979,115.2300034,115.2300034,115.7399979,115.1100006,114.4000015,113.0899963,111.7699966,111.3000031,112.4899979,112.8499985,115.0400009,119.5,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0.37%,0.94%,1.15%,1.15%,1.60%,1.05%,0.42%,-0.73%,-1.89%,-2.30%,-1.26%,-0.94%,0.98%,4.90%
156,McDonalds,2018-03-07,engulfing_bullish,152.3800049,154.6100006,157.7299957,159.4499969,159.8899994,159.5099945,162.1499939,163.2299957,162.3600006,160.6699982,160.4100037,159.7599945,164.5599976,165.3999939,162.1000061,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.46%,3.51%,4.64%,4.93%,4.68%,6.41%,7.12%,6.55%,5.44%,5.27%,4.84%,7.99%,8.54%,6.38%
157,McDonalds,2018-07-20,engulfing_bullish,157.9700012,158.8300018,159.5800018,158.9900055,158.8899994,158.0099945,160.0200043,159,157.2200012,156.9299927,156.9700012,159.5099945,161.8999939,159.8600006,162.9100037,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0.54%,1.02%,0.65%,0.58%,0.03%,1.30%,0.65%,-0.48%,-0.66%,-0.63%,0.98%,2.49%,1.20%,3.13%
158,McDonalds,2019-09-23,engulfing_bullish,211.5399933,213.5200043,213.1499939,215.6699982,213.6300049,215.3600006,211.6999969,208.4799957,210.0299988,211.7100067,212.8699951,210.0200043,210.7599945,195.3200073,190.75,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0.94%,0.76%,1.95%,0.99%,1.81%,0.08%,-1.45%,-0.71%,0.08%,0.63%,-0.72%,-0.37%,-7.67%,-9.83%
159,McDonalds,2020-03-19,engulfing_bullish,149.5,161.5399933,153.2100067,162.9799957,171.3600006,170.9299927,169.7400055,170.3099976,169.5099945,161.4400024,161.9499969,185.4600067,186.8099976,184.3500061,185.5399933,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8.05%,2.48%,9.02%,14.62%,14.33%,13.54%,13.92%,13.39%,7.99%,8.33%,24.05%,24.96%,23.31%,24.11%
160,McDonalds,2020-04-02,engulfing_bullish,161.5,162.2299957,177.8699951,185.1900024,179.4199982,185.4600067,182.8500061,184.4900055,180.9700012,179.9100037,186.8099976,184.3500061,185.5399933,183.4299927,174.7100067,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.45%,10.14%,14.67%,11.10%,14.84%,13.22%,14.24%,12.06%,11.40%,15.67%,14.15%,14.89%,13.58%,8.18%
161,Tim Hortons,2015-03-19,engulfing_bullish,39.84000015,40.66999817,38.97999954,39.40999985,40.25,39.34999847,39.25999832,39.20000076,39.22000122,38.90000153,39.34000015,39.06999969,39.40999985,41.79999924,41.50999832,1,0,0,1,0,0,0,0,0,0,0,0,1,1,2.08%,-2.16%,-1.08%,1.03%,-1.23%,-1.46%,-1.61%,-1.56%,-2.36%,-1.26%,-1.93%,-1.08%,4.92%,4.19%
162,Tim Hortons,2015-06-05,engulfing_bullish,39.29000092,39.43000031,38.25999832,38.72999954,38.47999954,38.34999847,38.13999939,37.86999893,37.63000107,38.27000046,38.43000031,39.16999817,39.72000122,40.63000107,40.88000107,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0.36%,-2.62%,-1.43%,-2.06%,-2.39%,-2.93%,-3.61%,-4.23%,-2.60%,-2.19%,-0.31%,1.09%,3.41%,4.05%
163,Tim Hortons,2015-09-17,engulfing_bullish,37.45999908,37.40999985,38.13000107,37.84999847,38.20000076,37.72999954,38.25999832,37.45000076,36.13999939,36.09999847,36.31999969,36.47999954,36.47999954,37.52000046,41.09000015,0,1,1,1,1,1,0,0,0,0,0,0,1,1,-0.13%,1.79%,1.04%,1.98%,0.72%,2.14%,-0.03%,-3.52%,-3.63%,-3.04%,-2.62%,-2.62%,0.16%,9.69%
164,Tim Hortons,2017-08-02,engulfing_bullish,59.68999863,61.45000076,62.54999924,62.71500015,62.16500092,61.02999878,60.72000122,60.11999893,60.59000015,60.09999847,60.86999893,62.45999908,60.95000076,64.34999847,63.29000092,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.95%,4.79%,5.07%,4.15%,2.25%,1.73%,0.72%,1.51%,0.69%,1.98%,4.64%,2.11%,7.81%,6.03%
165,Tim Hortons,2018-01-02,engulfing_bullish,62.43999863,63.72999954,64.77999878,64.18000031,63.5,63.25,62.45999908,61.22000122,61.41999817,62.40999985,62.88999939,62.45000076,60.84000015,59.56999969,58.47000122,1,1,1,1,1,1,0,0,0,1,1,0,0,0,2.07%,3.75%,2.79%,1.70%,1.30%,0.03%,-1.95%,-1.63%,-0.05%,0.72%,0.02%,-2.56%,-4.60%,-6.36%
166,Tim Hortons,2018-04-18,engulfing_bullish,55.06000137,55.04999924,54.99000168,53.97000122,57.65999985,56.18000031,55.15000153,54.5,54.77999878,54.43999863,54.40000153,55.75999832,56.81999969,57.61999893,59.36000061,0,0,0,1,1,1,0,0,0,0,1,1,1,1,-0.02%,-0.13%,-1.98%,4.72%,2.03%,0.16%,-1.02%,-0.51%,-1.13%,-1.20%,1.27%,3.20%,4.65%,7.81%
167,Tim Hortons,2018-05-08,engulfing_bullish,55.47999954,55.75999832,56.79000092,57.11800003,57.49000168,56.90999985,56.81999969,56.24000168,56.11999893,56.89500046,57.00999832,59.72999954,61.34000015,60.81000137,61.29999924,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.51%,2.36%,2.95%,3.62%,2.58%,2.42%,1.37%,1.15%,2.55%,2.76%,7.66%,10.56%,9.61%,10.49%
168,Tim Hortons,2018-09-18,engulfing_bullish,59.25,59.83000183,60.88999939,61.36000061,59.36999893,59.61000061,59.63000107,59.43000031,59.34000015,59.72000122,58.83000183,59.45000076,58.02999878,57.22000122,53.36999893,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0.98%,2.77%,3.56%,0.20%,0.61%,0.64%,0.30%,0.15%,0.79%,-0.71%,0.34%,-2.06%,-3.43%,-9.92%
169,Tim Hortons,2018-10-05,engulfing_bullish,58.93999863,58.83000183,59.45000076,59.04999924,57.06000137,57.77999878,57.86999893,58.02999878,57.97499847,57.52000046,57.90999985,55.97999954,55.77000046,56.96500015,55.52999878,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-0.19%,0.87%,0.19%,-3.19%,-1.97%,-1.82%,-1.54%,-1.64%,-2.41%,-1.75%,-5.02%,-5.38%,-3.35%,-5.79%
170,Tim Hortons,2018-11-16,engulfing_bullish,55.47000122,55.75999832,53.22000122,55.34999847,55.45000076,56.63999939,56.83000183,58.24499893,58.90000153,58.91999817,59.33000183,54.95000076,53.15000153,52.38000107,52.38999939,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0.52%,-4.06%,-0.22%,-0.04%,2.11%,2.45%,5.00%,6.18%,6.22%,6.96%,-0.94%,-4.18%,-5.57%,-5.55%
171,Tim Hortons,2019-01-03,engulfing_bullish,52.13000107,54.27000046,55.70000076,56.09999847,55.34999847,55.74000168,56.70000076,56.13999939,56.38000107,56.61999893,57.33000183,64.16999817,62.99000168,62.75999832,65,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.11%,6.85%,7.62%,6.18%,6.93%,8.77%,7.69%,8.15%,8.61%,9.98%,23.10%,20.83%,20.39%,24.69%
172,Tim Hortons,2019-10-03,engulfing_bullish,71.44000244,71.90000153,71.94000244,70.93000031,71.45999908,71.93000031,72.19999695,71.05999756,70.65000153,69.72000122,69.86000061,69.37000275,66.47899628,66.34999847,68.40000153,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0.64%,0.70%,-0.71%,0.03%,0.69%,1.06%,-0.53%,-1.11%,-2.41%,-2.21%,-2.90%,-6.94%,-7.13%,-4.26%
173,Tim Hortons,2019-11-05,engulfing_bullish,65.63999939,66.37000275,66.34999847,66.98999786,67.73999786,68.37000275,68.13999939,68.40000153,67.66999817,67.04000092,66.33000183,65.43000031,65.93000031,67.30000305,65.59999847,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1.11%,1.08%,2.06%,3.20%,4.16%,3.81%,4.21%,3.09%,2.13%,1.05%,-0.32%,0.44%,2.53%,-0.06%
174,Tim Hortons,2020-01-16,engulfing_bullish,63.16999817,64.27999878,65.83000183,65.73999786,65.33000183,65.44000244,63.84999847,64,63.77999878,62.66999817,62.25,63.93999863,67.33000183,65.26000214,59.47000122,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1.76%,4.21%,4.07%,3.42%,3.59%,1.08%,1.31%,0.97%,-0.79%,-1.46%,1.22%,6.59%,3.31%,-5.86%
175,Wendys,2015-08-17,engulfing_bullish,10.09000015,10.13000011,9.81000042,9.609999657,9.300000191,9.109999657,9.270000458,9.199999809,9.369999886,9.359999657,9.319999695,9.25,9.25,9.130000114,8.779999733,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40%,-2.78%,-4.76%,-7.83%,-9.71%,-8.13%,-8.82%,-7.14%,-7.24%,-7.63%,-8.33%,-8.33%,-9.51%,-12.98%
176,Wendys,2015-09-18,engulfing_bullish,9.100000381,9.18999958,9.130000114,9.100000381,9.050000191,9.069999695,8.920000076,8.779999733,8.789999962,8.640000343,8.710000038,9.300000191,9.199999809,8.859999657,9.170000076,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0.99%,0.33%,0.00%,-0.55%,-0.33%,-1.98%,-3.52%,-3.41%,-5.06%,-4.29%,2.20%,1.10%,-2.64%,0.77%
177,Wendys,2015-10-02,engulfing_bullish,8.710000038,8.760000229,8.819999695,8.869999886,9.180000305,9.300000191,9.289999962,9.18999958,9.06000042,8.979999542,9.199999809,8.859999657,9.170000076,9.75,9.890000343,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.57%,1.26%,1.84%,5.40%,6.77%,6.66%,5.51%,4.02%,3.10%,5.63%,1.72%,5.28%,11.94%,13.55%
178,Wendys,2016-03-03,engulfing_bullish,9.75,9.840000153,9.819999695,9.609999657,9.590000153,9.569999695,9.720000267,9.850000381,10.06999969,10.31000042,10.39999962,10.44999981,11,11.06000042,10.97999954,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0.92%,0.72%,-1.44%,-1.64%,-1.85%,-0.31%,1.03%,3.28%,5.74%,6.67%,7.18%,12.82%,13.44%,12.62%
179,Wendys,2016-06-02,engulfing_bullish,10.42000008,10.39000034,10.18999958,10.18000031,10.25,10.40999985,10.36999989,10.22999954,9.970000267,9.93999958,9.779999733,9.970000267,9.619999886,9.729999542,9.800000191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.29%,-2.21%,-2.30%,-1.63%,-0.10%,-0.48%,-1.82%,-4.32%,-4.61%,-6.14%,-4.32%,-7.68%,-6.62%,-5.95%
180,Wendys,2016-06-08,engulfing_bullish,10.23999977,10.40999985,10.36999989,10.22999954,9.970000267,9.93999958,9.779999733,10.06999969,10.22000027,10.10999966,9.949999809,9.520000458,9.609999657,9.819999695,9.909999847,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.66%,1.27%,-0.10%,-2.64%,-2.93%,-4.49%,-1.66%,-0.20%,-1.27%,-2.83%,-7.03%,-6.15%,-4.10%,-3.22%
181,Wendys,2016-07-06,engulfing_bullish,9.630000114,9.609999657,9.729999542,9.829999924,9.869999886,9.850000381,9.819999695,9.800000191,9.649999619,9.840000153,9.890000343,9.859999657,9.529999733,10.19999981,10.18000031,0,1,1,1,1,1,1,1,1,1,1,0,1,1,-0.21%,1.04%,2.08%,2.49%,2.29%,1.97%,1.77%,0.21%,2.18%,2.70%,2.39%,-1.04%,5.92%,5.71%
182,Wendys,2018-02-14,engulfing_bullish,15.75,15.93999958,16.75,16.48999977,16.44000053,17.11000061,17.26000023,17.02000046,16.79999924,16.30999947,16.35000038,17.39999962,17.15999985,17.48999977,17.70000076,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.21%,6.35%,4.70%,4.38%,8.64%,9.59%,8.06%,6.67%,3.56%,3.81%,10.48%,8.95%,11.05%,12.38%
183,Wendys,2018-05-03,engulfing_bullish,16.70999908,16.90999985,17.04999924,17.46999931,17.14999962,16.80999947,16.86000061,16.73999977,16.67000008,16.61000061,16.37999916,16.59000015,16.34000015,17.76000023,17.87999916,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1.20%,2.04%,4.55%,2.63%,0.60%,0.90%,0.18%,-0.24%,-0.60%,-1.98%,-0.72%,-2.21%,6.28%,7.00%
